stations_id,stationsname,bundesland,mess_datum,mess_datum_beginn,mess_datum_ende,bedeckungsgrad,lufttemperatur,lufttemperatur_max,lufttemperatur_min,windstaerke,sonnenscheindauer,windspitze,lufttemperatur_absmax,lufttemperatur_absmin,niederschlagshoehe,niederschlagshoehe_max,schneehoehe_neu,schneehoehe,sturm_6bft,sturm_8bft,gewitter,glatteis,graupel,hagel,nebel,tau,stationshoehe,geobreite,geolaenge
403,Berlin-Dahlem (FU),Berlin,1950-01-15,19500101,19501231,5.41,9.3,13.25,5.33,1.99,NA,NA,32.6,-14.1,630.9,26.5,NA,88,11,10,14,8,14,1,30,32,51,52.4537,13.3017
403,Berlin-Dahlem (FU),Berlin,1951-01-15,19510101,19511231,5.13,9.65,13.8,5.63,2.07,1777.8,NA,32.7,-11.3,575.6,44,NA,31,64,46,38,4,6,5,32,74,51,52.4537,13.3017
403,Berlin-Dahlem (FU),Berlin,1952-01-15,19520101,19521231,5.55,8.4,12.37,4.68,2.44,1643.7,NA,34.3,-11.2,556.3,21.3,NA,341,126,33,29,9,10,2,30,74,51,52.4537,13.3017
403,Berlin-Dahlem (FU),Berlin,1953-01-15,19530101,19531231,5.05,9.99,14.36,5.72,2.56,2049.8,NA,32.4,-16.2,532,34.4,NA,534,124,25,28,1,7,1,40,74,51,52.4537,13.3017
403,Berlin-Dahlem (FU),Berlin,1954-01-15,19540101,19541231,5.29,8.16,12.14,4.3,2.97,1753.6,NA,33.4,-19.8,762.6,41.6,NA,166,155,23,25,7,15,2,31,56,51,52.4537,13.3017
403,Berlin-Dahlem (FU),Berlin,1955-01-15,19550101,19551231,5.16,8.15,12.32,4.2,2.44,1915.8,NA,30.1,-15.5,545.8,16,NA,365,87,21,32,12,15,2,48,106,51,52.4537,13.3017
403,Berlin-Dahlem (FU),Berlin,1956-01-15,19560101,19561231,5.33,7.49,11.4,3.68,2.44,1718.8,NA,30.2,-21.8,701.9,49.5,NA,482,10,0,23,5,12,0,37,72,51,52.4537,13.3017
403,Berlin-Dahlem (FU),Berlin,1957-01-15,19570101,19571231,5.21,9.24,13.42,5.22,2.36,1766.7,NA,34.5,-14.2,521.9,24.6,NA,49,6,1,28,1,7,0,50,80,51,52.4537,13.3017
403,Berlin-Dahlem (FU),Berlin,1958-01-15,19580101,19581231,5.48,8.74,12.59,5.02,2.46,1646,NA,32.2,-11.8,665.5,34.8,NA,77,12,0,34,5,10,4,45,134,51,52.4537,13.3017
403,Berlin-Dahlem (FU),Berlin,1959-01-15,19590101,19591231,4.73,9.63,14.26,5.18,2.35,2087.8,NA,37.8,-11.4,513.8,72.4,NA,152,8,0,22,1,17,3,39,132,51,52.4537,13.3017
